Gene_ID,Raw_FPKM,H3K4me3_signal_bin25,H3K27me3_signal_bin21
Eucgr.A00007,0,-16.6477,-10.1981
Eucgr.A00043,0,10.3002,25.5719
Eucgr.A00047,0,-11.8096,18.5719
Eucgr.A00088,0,-16.9475,-3.9692
Eucgr.A00090,0,-9.86432,-8.31811
Eucgr.A00098,0,1.63855,47.6019
Eucgr.A00126,0,-13.0957,43.1962
Eucgr.A00135,0,-14.2152,-2.89812
Eucgr.A00142,0,-2.36904,40.5648
Eucgr.A00150,0,-10.63,20.5682
Eucgr.A00156,0,27.7969,63.865
Eucgr.A00158,0,51.9046,43.9883
Eucgr.A00168,0,-10.7923,29.5791
Eucgr.A00169,0,-11.2867,-8.10811
Eucgr.A00173,0,-14.508,-5.73811
Eucgr.A00176,0,-19.7375,17.4277
Eucgr.A00178,0,-18.6027,33.3565
Eucgr.A00179,0,-17.1504,-5.59811
Eucgr.A00200,0,-11.5658,25.0647
Eucgr.A00218,0,16.536,54.2439
Eucgr.A00226,0,-14.508,-11.1081
Eucgr.A00234,0,-12.4163,-11.1081
Eucgr.A00235,0,-12.4163,-8.84811
Eucgr.A00241,0,-14.508,-11.1081
Eucgr.A00258,0,-7.94619,20.1819
Eucgr.A00270,0,-7.6729,-3.54811
Eucgr.A00276,0,-8.75919,10.8519
Eucgr.A00289,0,-159.961,-3.4471
Eucgr.A00297,0,1.89133,42.1357
Eucgr.A00306,0,101.477,46.1803
Eucgr.A00325,0,11.7644,-8.94811
Eucgr.A00327,0,-4.7186,-11.1081
Eucgr.A00334,0,-14.508,-10.6481
Eucgr.A00335,0,-1.93658,-6.63811
Eucgr.A00336,0,-11.1194,-10.4481
Eucgr.A00338,0,-5.34613,-11.1081
Eucgr.A00339,0,14.4419,-8.84811
Eucgr.A00341,0,-2.6896,-8.20812
Eucgr.A00352,0,-18.8608,-19.929
Eucgr.A00365,0,6.42697,6.22189
Eucgr.A00377,0,34.4848,15.8042
Eucgr.A00381,0,14.9942,31.4462
Eucgr.A00414,0,71.0238,0.191891
Eucgr.A00415,0,-8.21183,-7.77937
Eucgr.A00433,0,27.6199,26.1042
Eucgr.A00437,0,-7.50064,-3.91811
Eucgr.A00447,0,21.8885,-6.8281
Eucgr.A00450,0,-14.508,-7.46811
Eucgr.A00463,0,-11.6423,4.32189
Eucgr.A00476,0,-14.508,-10.5381
Eucgr.A00489,0,-14.4485,-3.50811
Eucgr.A00515,0,36.8042,3.7028
Eucgr.A00517,0,-9.69306,87.801
Eucgr.A00521,0,-12.8974,-5.7781
Eucgr.A00525,0,-11.5494,-0.82811
Eucgr.A00528,0,-12.4163,4.89189
Eucgr.A00533,0,-12.9819,-8.1281
Eucgr.A00573,0,-10.2618,-0.908109
Eucgr.A00593,0,-8.37868,-7.41133
Eucgr.A00605,0,54.1554,4.29398
Eucgr.A00616,0,-22.3326,-9.80811
Eucgr.A00638,0,16.8462,78.8662
Eucgr.A00639,0,-10.3761,29.9578
Eucgr.A00645,0,14.7107,78.31
Eucgr.A00646,0,2.44363,59.0801
Eucgr.A00653,0,-28.72,4.84189
Eucgr.A00657,0,-7.4588,-1.60811
Eucgr.A00674,0,-18.0562,0.456952
